123456789, 17885837743169658808143742785196900487048873615499490688018,jPKHYbUsShwdAzTC, P, 1
L12345, 18391225044809765264184193313980912568774903191066989168016, iANa0ngbTtzLd8vX, L, 0
234567890, 398874093416949372945413150052185037341547968653894361291, cA6Dm8PBxnjAo12J, P, 1
L54321, 11481078182100814216172552794959388217989833720275438468610, fh0qscajqWrpvt55, L, 0
345678901, 2286219439433358285133172628037904694422009604590909476987, fb87K2rApc0Jbvpv, P, 1
L67890, 10429644696730546144166841787327345265838552882616188648148, AvegREb07md1WlJ3, L, 0
456789012, 17450868251812523346250061443691321878613535567809122551164, nkBTXQ3LakrFMLkf, P, 1
L98765, 19536548857842964871609032783290206722716781160853095341369, bWTAptQYR4OUWyyw, L, 0
567890123, 154240562022717558630334346785381052415185440941322358562, qg1Zk0Bt6r7LcJBW, P, 1
L13579, 1087745549807687276041024158847595482375283730003536282896, DvXfH9R9in7EWuGp, L, 0
